DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
USA;AXM;84;111249;440089316
PAN;AXM;9;8120;32122971,91
DEU;BOG;294;1837;7245317,62
DEU;BOG;195;679;2678303,12
DEU;BOG;360;1918;7562731,54
DEU;BOG;60;277;1094190,82
DEU;BOG;26;130;523724,83
DEU;BOG;299;1511;6042428,35
DEU;BOG;12;96;387455,61
DEU;BOG;3;21;85648,08
DEU;BOG;25453;13980;55900529,29
DEU;BOG;8320;21815;85791181,18
DEU;BOG;2540;1494;5868005,44
DEU;BOG;40;2;7890,79
DEU;BOG;36;15;58886,55
DEU;BOG;31;1500;5998815
DEU;BOG;3700;592;2324055,84
DEU;BOG;32840;5569;21866887,69
DEU;BOG;69;110274;436560252,8
DEU;BOG;1400;252;991012,68
DEU;BOG;25600;4411;17347441
DEU;BOG;500;1500;5974725
DEU;BOG;30;2502;9965841,3
DEU;BOG;10600;1908;7629157,08
DEU;BOG;81040;14528;57782796,92
DEU;BOG;50136;13865;55148535,49
DEU;BOG;2310;371;1496030,63
DEU;BOG;11830;2095;8432245,83
DEU;BOG;143;560;2234148
DEU;BOG;1374;6063;24190636,42
DEU;BOG;405;6055;24119327,52
DEU;BOG;560;19389;77216692,5
DEU;BOG;0;22500;89621313,14
DEU;BOG;11860;7616;30073660,05
DEU;BOG;216;11475;45403820,99
DEU;BOG;277;10214;40416087,6
DEU;BOG;771;14116;55855088,15
DEU;BOG;47;2639;10444698,93
DEU;BOG;110;3425;13553129,59
DEU;BOG;147;33328;133293642,9
DEU;BOG;440;683;2734061,18
DEU;BOG;1780;12055;48204037,3
DEU;BOG;288;214;856877,87
DEU;BOG;54155;19841;78605490,65
DEU;BOG;7;383;1499609,69
DEU;BOG;1;50;195771,5
DEU;BOG;12420;2235;8845732,65
DEU;BOG;525;5565;22162612,5
DEU;BOG;171;1486;5980380,96
DEU;BOG;5600;1064;4119222,8
DEU;BOG;8400;1592;6163348,4
DEU;BOG;5680;965;3860961,25
DEU;BOG;17160;3256;13019148,55
DEU;BOG;75940;13993;54935835,8
DEU;BOG;13410;2426;9574007,1
DEU;BOG;99968;18203;73079992,33
DEU;BOG;17163;18415;72847609,31
DEU;BOG;19280;2668;10536126,19
DEU;BOG;51040;7527;29616255,92
DEU;BOG;3660;658;2634218,38
DEU;BOG;20020;5137;20540345,86
DEU;BOG;1800;917;3628348,92
DEU;BOG;84;135475;548026179,5
DEU;BOG;7100;2766;10860799,73
DEU;BOG;1;971;3870865
DEU;BOG;2160;9489;36269725,68
DEU;BOG;6;22;88718,17
DEU;BOG;3;2;7765,08
DEU;BOG;36;149;587511,47
DEU;BOG;9400;42158;163199624
DEU;BOG;3200;800;3192704
DEU;BOG;21;111;449191,39
DEU;BOG;108;470;1887292,04
DEU;BOG;37;109;437836,84
DEU;BOG;50;437;1760154,37
DEU;BOG;35;180;726591,72
DEU;BOG;32;207;833086,09
DEU;BOG;50;172;687743,72
DEU;BOG;387;2683;10766904,83
DEU;BOG;385;2231;8923975,15
DEU;BOG;37;118;473823,43
DEU;BOG;28;243;971637,93
DEU;BOG;37;164854;648305433,4
DEU;BOG;98;11631;46526153,13
DEU;BOG;82;4363;17453127,29
DEU;BOG;1;8486;33373925,03
DEU;BOG;465;25100;98710761,81
DEU;BOG;2;5;19224,05
DEU;BOG;2;1970;7881720,6
DEU;BOG;12;11262;45043489,53
DEU;BOG;8460;1353;5354679,16
DEU;BOG;87120;16498;65516122,94
DEU;BOG;2;91000;353010550
DEU;BOG;4080;554;2195526,98
DEU;BOG;6800;924;3659211,64
DEU;BOG;15300;3825;15265116
DEU;BOG;24140;6035;24084960,8
DEU;BOG;4200;672;2658351,36
DEU;BOG;48160;7705;30482428,92
DEU;BOG;17700;4385;17504560,46
DEU;BOG;2400;707;2738392,72
DEU;BOG;985;6163;24194520,51
DEU;BOG;150;678;2628327,4
DEU;BOG;22900;3293;12929203,33
DEU;BOG;2898;2648878;10476910283
DEU;BOG;306;25974;103458338,1
DEU;BOG;1970685;11657;46612950,19
DEU;BOG;321;10299;41024214,43
DEU;BOG;675500;3152;12396192,22
ARM;BOG;2000;340;1367891,4
ARM;BOG;67;157;631364,72
ARM;BOG;1214;3655;14617752,85
ARM;BOG;147;322;1290319,17
ARM;BOG;400;74;294705
ARM;BOG;3550;607;2428776,3
ARM;BOG;9440;2926;11678911,23
ARM;BOG;800;140;557550
ARM;BOG;4190;769;3093280,25
ARM;BOG;35450;5938;23789197,18
ARM;BOG;1885;400;1611697,92
ARM;BOG;250;25;98919
ARM;BOG;7;20;79135,2
ARM;BOG;350;63;251906,13
ARM;BOG;350;59;237994,64
ARM;BOG;6050;992;3969910,67
ARM;BOG;4000;220;876293
ABW;BOG;13972;4317;17227122,22
ABW;BOG;3425;910;3603608,88
ABW;BOG;1548;435;1739751,7
ABW;BOG;258;39;158141,07
ABW;BOG;3502;586;2332124,37
ABW;BOG;516;118;474463,19
ABW;BOG;18060;4569;18270551,6
ABW;BOG;289;2768;11071194,44
ABW;BOG;130;1067;4221833,81
ABW;BOG;40;102;414229,7
ABW;BOG;80;85;344547,7
ABW;BOG;70;206;829666,36
ABW;BOG;50;1406;5529221,54
ABW;BOG;90;2270;8952728,46
ABW;BOG;54;1218;4803399,14
ABW;BOG;159;4085;16108894,18
ABW;BOG;58;1748;6894506,23
ABW;BOG;337;9732;38374750,86
ABW;BOG;148;2788;10994468,83
ABW;BOG;36;500;1973092,21
ABW;BOG;36;629;2481743,08
ABW;BOG;2325;744;2925846,96
ABW;BOG;1296;568;2237250,45
ABW;BOG;5380;2389;9553240,09
ABW;BOG;2018;597;2388270,03
ABW;BOG;1345;447;1791212,52
ABW;BOG;336;119;477662
ABW;BOG;8743;2257;9027835,83
ABW;BOG;108;358;1432986
ABW;BOG;0;35;139410,25
ABW;BOG;32;358;1369822,72
ABW;BOG;13;93;355450,65
ABW;BOG;680;190;749964,3
ABW;BOG;1040;272;1075658,58
ABW;BOG;710;213;839865,39
ABW;BOG;360;72;283898,16
ABW;BOG;370;358;1412590,49
ABW;BOG;1718;1215;4793423,26
ABW;BOG;198;2402;9475022,22
ABW;BOG;40;81;322437,77
ABW;BOG;35;79;312211,05
ABW;BOG;84;182;722069,5
ABW;BOG;90;183;714356,74
ABW;BOG;70;157;615471,33
ABW;BOG;204;443;1732284,5
ABW;BOG;187;717;2860507,35
ABW;BOG;3;31;127585,8
ABW;BOG;78;416;1660849,66
ABW;BOG;10;53;214637,79
ABW;BOG;1570;7530;30041391,26
ABW;BOG;30;61;245199,66
ABW;BOG;30;67;271339,93
ABW;BOG;84;183;732206,75
ABW;BOG;447;345412;1356311290
BIH;BOG;1600;272;1087975,52
BIH;BOG;32960;9098;36378443,98
BIH;BOG;9900;1188;4750229,88
AGO;BOG;1;1608;6404935,27
AGO;BOG;40;1474;5893803,74
AIA;BOG;1;1481;5734430,45
ATG;BOG;6;657;2601490,56
ATG;BOG;10;1791;7087823,32
ATG;BOG;259;17824;70528455,64
ATG;BOG;396;10396;41136217,93
ATG;BOG;12;1322;5233210,77
ATG;BOG;12;1308;5178765,75
ATG;BOG;210;3872;15323344,45
ATG;BOG;276;9199;36399026,59
SAU;BOG;11;3044;12044377,44
SAU;BOG;2;736;2912175,36
SAU;BOG;7;2372;9385434,72
SAU;BOG;3;744;2943829,44
SAU;BOG;3;588;2326574,88
SAU;BOG;210;21;82224,03
SAU;BOG;5500;859;3367191,49
SAU;BOG;30001;24099;95375674,96
SAU;BOG;60;6;23492,58
SAU;BOG;319;2526;9920735,52
SAU;BOG;2088;1421;5684309,87
SAU;BOG;70;7;27408,01
SAU;BOG;23307;18140;72069743,83
SAU;BOG;2205;1377;5392645,39
SAU;BOG;4;11207;44192139,6
SAU;BOG;4;2248;8865824,09
SAU;BOG;53;68634;271507867,9
SAU;BOG;3;11274;43090747,21
SAU;BOG;1;50;199925,5
SAU;BOG;3750;1395;5579874,45
SAU;BOG;800;152;607986,32
SAU;BOG;1560;1474;5897867,29
SAU;BOG;500;150;599986,5
SAU;BOG;109;1630;6519853,3
SAU;BOG;2846;10472;41705257,72
SAU;BOG;3960;18596;71075453,32
SAU;BOG;180;2466;9862594,38
SAU;BOG;1;4878;19427431,5
SAU;BOG;6;13693;55391359,26
SAU;BOG;44004;220790;863959005,7
SAU;BOG;12960;32373;128949701,5
SAU;BOG;238;1077;4180294,53
SAU;BOG;164;876;3400892,57
SAU;BOG;328;715;2770826,65
SAU;BOG;137;373;1447143,29
SAU;BOG;180;999;3879997,22
SAU;BOG;397;1592;6176459,61
SAU;BOG;44;146;560847,61
SAU;BOG;4288;17671;70501332,82
SAU;BOG;1576;22374;87647637,18
SAU;BOG;1276;3411;13208806,68
SAU;BOG;258;3411;13208767,96
SAU;BOG;134;3411;13208767,96
SAU;BOG;1;6000;23937300
SAU;BOG;111;3411;13208767,96
SAU;BOG;600;156;613484,04
SAU;BOG;3;288;1127643,84
SAU;BOG;5;1160;4541898,8
SAU;BOG;3;336;1315584,48
SAU;BOG;6;963;3770559,09
SAU;BOG;6;612;2396243,16
SAU;BOG;4;928;3633519,04
SAU;BOG;3797;8479;33200966,99
ARG;BOG;21710;7234;28934276,27
ARG;BOG;184;368;1471451,68
ARG;BOG;20971;3054;12211449,54
ARG;BOG;3800;1000;4023210
ARG;BOG;1;104;411742,17
ARG;BOG;1;104;411742,17
ARG;BOG;1;104;411742,17
ARG;BOG;1;104;411742,17
ARG;BOG;1;104;411742,17
ARG;BOG;1;104;411742,17
ARG;BOG;1;104;411742,17
ARG;BOG;2;3968;15806303,55
ARG;BOG;7000;91000;363948130
ARG;BOG;75;2237;8927814,99
ARG;BOG;1043;23072;89322481,54
ARG;BOG;2;15265;60388802,61
ARG;BOG;600;48993;189675072,6
ARG;BOG;400;92;367862,92
ARG;BOG;900;54;215919,54
ARG;BOG;622;5700;23057754
ARG;BOG;8;88;358285,13
ARG;BOG;1;2486;9761505,62
ARG;BOG;9;3544;13940087,72
ARG;BOG;9;2050;8064916,24
ARG;BOG;591;489;1930980,65
ARG;BOG;1;4;17077,09
ARG;BOG;1;146;576565,81
ARG;BOG;1;596;2355619,99
ARG;BOG;8;206;810278,92
ARG;BOG;3;1572;6208763,26
ARG;BOG;7;1583;6253737,13
ARG;BOG;4;598;2349023,73
ARG;BOG;3;963;3729948,5
ARG;BOG;1;11541;45962032,5
ARG;BOG;237;923;3692156,92
ARG;BOG;2154;1844781;7224103382
AUS;BOG;137680;23241;91240901,22
AUS;BOG;11680;3270;13039787,26
AUS;BOG;5200;728;2857960,56
AUS;BOG;9450;5202;20594988,54
AUS;BOG;3965;2656;10580307,75
AUS;BOG;3;799;3054582,36
AUS;BOG;440;79;310842,46
AUS;BOG;1800;378;1483941,06
AUS;BOG;126304;8484;33793442,91
AUS;BOG;12100;4114;16551485,94
AUS;BOG;577600;107498;430157783,2
AUS;BOG;4858;6430;25438998,39
AUS;BOG;65120;11695;45992426,56
AUS;BOG;4020;723;2862474,76
AUS;BOG;300;93;378228,07
AUS;BOG;632;12953;52401132,64
AUS;BOG;1;101;412207,91
AUS;BOG;445;6245;25265190,1
AUS;BOG;1;1461;5843542,46
AUS;BOG;5320;957;3814264,44
AUS;BOG;12;750;2993160
AUS;BOG;800;144;566292,96
AUS;BOG;31100;5586;21967447,74
AUS;BOG;56150;14827;59058165,04
AUS;BOG;340000;69560;277067914
AUS;BOG;5;5;19992,55
AUS;BOG;270;378;1511436,78
AUS;BOG;46;19;75971,69
AUS;BOG;10;5016;19726146,72
AUS;BOG;3650;1075;4301903,2
AUS;BOG;31800;6745;26981392,9
AUS;BOG;252980;49729;198799226,8
AUS;BOG;175;917;3552055,37
AUS;BOG;31;26522;103845465,2
AUS;BOG;48;7222;28476562,66
AUS;BOG;5;552;2176552,56
AUS;BOG;8;860;3391794,4
AUS;BOG;23;2539;10012141,77
AUS;BOG;77;697;2820327,38
