DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
USA;AXM;95;104644;422470536
PAN;AXM;12;12125;48952664
DEU;BOG;480;3000;12111570
DEU;BOG;90;634;2561597
DEU;BOG;60;228;920479
DEU;BOG;270;940;3796977
DEU;BOG;1204;6902;27612297
DEU;BOG;64;296;1195008
DEU;BOG;32;9256;36845081
DEU;BOG;9;5175;20599967
DEU;BOG;9;3267;13004848
DEU;BOG;16;4560;18151855
DEU;BOG;1380;1093;4347839
DEU;BOG;28995;15999;65473596
DEU;BOG;50;4930;20294788
DEU;BOG;245;54726;225284504
DEU;BOG;20;6256;25753387
DEU;BOG;20;3604;14836190
DEU;BOG;20;4216;17355543
DEU;BOG;20;3332;13716477
DEU;BOG;20;3332;13716477
DEU;BOG;100;7780;32027070
DEU;BOG;1088;157774;636965633
DEU;BOG;1;2526;10080297
DEU;BOG;27;60;247062
DEU;BOG;9;20;82354
DEU;BOG;1300;200;811388
DEU;BOG;38160;6102;24935734
DEU;BOG;62;99871;405667865
DEU;BOG;5600;1008;4098316
DEU;BOG;12480;2246;9133390
DEU;BOG;13;1484;5883800
DEU;BOG;2560;460;1870917
DEU;BOG;50;18500;74688015
DEU;BOG;44787;13917;56397252
DEU;BOG;1800;297;1181121
DEU;BOG;10080;1808;7210407
DEU;BOG;16;50;199763
DEU;BOG;37;104;412211
DEU;BOG;20;50;198178
DEU;BOG;82;320;1268342
DEU;BOG;24;88;348794
DEU;BOG;119;583;2310761
DEU;BOG;1198;5380;21324402
DEU;BOG;13;70;277449
DEU;BOG;7;28;112961
DEU;BOG;2;287;1183313
DEU;BOG;1;568;2339581
DEU;BOG;1;194;799400
DEU;BOG;986;88154;362897703
DEU;BOG;9;325;1340155
DEU;BOG;1;41;168862
DEU;BOG;2;6331;26063613
DEU;BOG;6;6873;28296780
DEU;BOG;1;372;1531009
DEU;BOG;5;8753;36012709
DEU;BOG;19660;6549;26330876
DEU;BOG;3;2238;9052867
DEU;BOG;2;746;2960707
DEU;BOG;4;450;1787798
DEU;BOG;1;1457;5997871
DEU;BOG;1;374;1540386
